PeakID (cmd=annotatePeaks.pl ../chip_output/macs2_output/SRR21586220_summits.bed mm10 -gtf ../chip_output/tmp/mm10.ncbiRefSeq.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SRR21586220_peak_20753	chr18	40308226	40308226	+	2622.6	NA	intron (NM_026135.2, intron 2 of 2)	-intron (NM_001371039.1, intron 2 of 2)	-49460	NR_168033.1	Gm31087	NR_168033			Gm31087			
SRR21586220_peak_15322c	chr15	75086774	75086774	+	2102.01	NA	Intergenic	Intergenic	-16668	XR_003951660.1	Gm52219	XR_003951660			Gm52219			
SRR21586220_peak_19986	chr18	3005800	3005800	+	1712.09	NA	Intergenic	Intergenic	22002	Vmn1r-ps151	Vmn1r-ps151	Vmn1r-ps151			Vmn1r-ps151			NA
SRR21586220_peak_6419	chr11	54140268	54140268	+	1472.47	NA	Intergenic	Intergenic	-1600	XR_879857.1	Gm12223	XR_879857			Gm12223			
SRR21586220_peak_24293b	chr2	98667044	98667044	+	1360.34	NA	Intergenic	Intergenic	43347	XR_374818.2	Gm33780	XR_374818			Gm33780			
SRR21586220_peak_9969	chr12	97061570	97061570	+	745.194	NA	Intergenic	Intergenic	-138512	Gm6863	Gm6863	Gm6863			Gm6863			NA
SRR21586220_peak_2970	chr1	195241722	195241722	+	690.473	NA	Intergenic	Intergenic	46414	Gm29726	Gm29726	Gm29726			Gm29726			NA
SRR21586220_peak_2828	chr1	183299339	183299339	+	601.346	NA	intron (NM_181732.4, intron 1 of 9)	-intron (NM_181732.4, intron 1 of 9)	-2041	XM_006535600.4	Brox	XM_006535599			Brox			
SRR21586220_peak_42667	chr9	35305444	35305444	+	595.19	NA	intron (XR_870630.2, intron 1 of 3)	-intron (XR_379266.3, intron 1 of 2)	2279	XR_870629.2	Gm33838	XR_870630			Gm33838			
SRR21586220_peak_10365a	chr13	3373175	3373175	+	569.439	NA	Intergenic	Intergenic	12492	Gm16505	Gm16505	Gm16505			Gm16505			NA
SRR21586220_peak_36000	chr6	103649184	103649184	+	540.093	NA	intron (XM_030255133.1, intron 3 of 25)	-intron (NM_007697.2, intron 4 of 26)	42580	XR_003956491.1	Gm52915	XR_003956491			Gm52915			
SRR21586220_peak_44418e	chrM	15670	15670	+	524.47	NA	promoter-TSS (rna-TrnP)	-promoter-TSS (rna-TrnP)	-248	rna-TrnP	TrnP	rna-TrnP			TrnP			
SRR21586220_peak_3325	chr10	22142594	22142594	+	514.245	NA	intron (XM_017313965.2, intron 1 of 1)	-intron (NM_001254744.1, intron 1 of 1)	6670	XM_017313965.2	E030030I06Rik	NM_001254745			E030030I06Rik			
SRR21586220_peak_45966	chrX	170005354	170005354	+	490.861	NA	Intergenic	Intergenic	-5172	NR_137282.1_2	Erdr1	NR_137282.1_2			Erdr1			
SRR21586220_peak_26027d	chr2	181918821	181918821	+	460.187	NA	TTS (XR_867165.1)	-TTS (XR_867165.1)	4323	XR_867165.1	Gm40034	XR_867165			Gm40034			
