transcriptid	foldchange	DEstatus
transcript::chr1:195290544-195291439	1	FALSE
exon::chr1:195290544-195291439	4	TRUE
transcript::chr1:195195307-195197140	4	TRUE
exon::chr1:195195307-195195353	1	FALSE
exon::chr1:195196551-195197140	1	FALSE
transcript::chr1:195137241-195176880	1	FALSE
exon::chr1:195137241-195139798	4	TRUE
3UTR::chr1:195137241-195139798	4	TRUE
exon::chr1:195141174-195141283	1	FALSE
3UTR::chr1:195141174-195141189	1	FALSE
CDS::chr1:195141192-195141283	1	FALSE
exon::chr1:195149971-195150044	4	TRUE
CDS::chr1:195149971-195150044	4	TRUE
exon::chr1:195150922-195150946	1	FALSE
CDS::chr1:195150922-195150946	1	FALSE
exon::chr1:195151571-195151757	1	FALSE
CDS::chr1:195151571-195151757	4	TRUE
exon::chr1:195154131-195154317	4	TRUE
CDS::chr1:195154131-195154317	1	FALSE
exon::chr1:195155124-195155517	1	FALSE
